Location, Size, Price, Mortgage (Monthly), , , Listing Link
66 Oakview Cir #101 Hollow  Bridgeport  CT,833 sqft,$220000,1445,,,https://www.trulia.com/p/ct/bridgeport/66-oakview-cir-101-bridgeport-ct-06604--2005418617
66 Oakview Cir #101 Hollow  Bridgeport  CT,833 sqft,$220000,1445,,,https://www.trulia.com/p/ct/bridgeport/66-oakview-cir-101-bridgeport-ct-06604--2005418617
365 Chamberlain Ave Resevoir  Bridgeport  CT,1 447 sqft,$290000,1447,,,https://www.trulia.com/p/ct/bridgeport/365-chamberlain-ave-bridgeport-ct-06606--2005434146
176 King St Black Rock  Bridgeport  CT,1 080 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/176-king-st-bridgeport-ct-06605--1061565214
150 Harmony St North End  Bridgeport  CT,1 312 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/150-harmony-st-bridgeport-ct-06606--2005428130
150 Harmony St North End  Bridgeport  CT,1 312 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/150-harmony-st-bridgeport-ct-06606--2005428130
74 Roger Williams Rd Bridgeport  CT,1 152 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/74-roger-williams-rd-bridgeport-ct-06610--2005451919
151 Leonard Dr North End  Bridgeport  CT,1 104 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/151-leonard-dr-bridgeport-ct-06606--2005428177
281 Lincoln Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 197 sqft,$290000,1447,,,https://www.trulia.com/p/ct/bridgeport/281-lincoln-ave-bridgeport-ct-06606--2005431915
64 Beachview Ave Black Rock  Bridgeport  CT,2 208 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/64-beachview-ave-bridgeport-ct-06605--2005424183
264 Lexington Ave Hollow  Bridgeport  CT,2 369 sqft,$290000,1447,,,https://www.trulia.com/p/ct/bridgeport/264-lexington-ave-bridgeport-ct-06604--1007127689
79 Seltsam Rd Resevoir  Bridgeport  CT,1 492 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/79-seltsam-rd-bridgeport-ct-06606--2005439279
60 Renwick Pl Brooklawn/ St. Vincent's  Bridgeport  CT,1 116 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/60-renwick-pl-bridgeport-ct-06604--2005418469
